Unnamed: 0.1,ms.value,dt_conf.value,dt_s.value,dtnorm.value,dtnorm_label.value,country.value,loc_wkt.value,oms.value,Unnamed: 0,source,source_id,prediction,ms_record_id.value,ms_source_id.value,site_hyper_id
0,https://minmod.isi.edu/resource/mrds10056259,0.0320076271891593,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-109.79635 45.35242),https://minmod.isi.edu/resource/mrds10048508,770.0,MRDS,10056259,1442.0,10056259,MRDS,https://minmod.isi.edu/resource/1442
20,https://minmod.isi.edu/resource/mrds10197903,0.0285489801317453,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-114.14251 36.62439),,1946.0,MRDS,10197903,311.0,10197903,MRDS,https://minmod.isi.edu/resource/311
116,https://minmod.isi.edu/resource/mrds10136902,0.0302626229822635,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-135.0381 57.79693),,1619.0,MRDS,10136902,1414.0,10136902,MRDS,https://minmod.isi.edu/resource/1414
437,https://minmod.isi.edu/resource/mrds10056251,0.0350081995129585,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-110.16941 45.47103),https://minmod.isi.edu/resource/mrds10042345,763.0,MRDS,10056251,819.0,10056251,MRDS,https://minmod.isi.edu/resource/819
472,https://minmod.isi.edu/resource/mrds10282983,0.0361321382224559,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q476,Komatiite nickel-copper-PGE,United States,POINT (-136.47095 57.88301),,2503.0,MRDS,10282983,732.0,10282983,MRDS,https://minmod.isi.edu/resource/732
572,https://minmod.isi.edu/resource/mrds10096186,0.0347368083894252,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,United States,POINT (-116.40717 48.91097),,1293.0,MRDS,10096186,1712.0,10096186,MRDS,https://minmod.isi.edu/resource/1712
732,https://minmod.isi.edu/resource/mrds10111326,0.0252880919724702,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q481,U-M intrusion nickel-copper- PGE,United States,POINT (-92.09824 47.20638),,1454.0,MRDS,10111326,143.0,10111326,MRDS,https://minmod.isi.edu/resource/143
748,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692cgwu8xbq1,0.0864428356289863,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States of America,POINT (-91.759305555556 47.799861111111),,2860.0,https://w3id.org/usgs/z/4530692/CGWU8XBQ,1,2089.0,1,https://w3id.org/usgs/z/4530692/CGWU8XBQ,https://minmod.isi.edu/resource/2089
749,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692cgwu8xbq1,0.0864428356289863,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States of America,POINT(-91.759305555556 47.799861111111),,2860.0,https://w3id.org/usgs/z/4530692/CGWU8XBQ,1,2089.0,1,https://w3id.org/usgs/z/4530692/CGWU8XBQ,https://minmod.isi.edu/resource/2089
777,https://minmod.isi.edu/resource/mrds10301385,0.0250311810523271,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,United States,POINT (-121.59982 48.19561),https://minmod.isi.edu/resource/mrds10068217,2561.0,MRDS,10301385,1062.0,10301385,MRDS,https://minmod.isi.edu/resource/1062
798,https://minmod.isi.edu/resource/mrds10002392,0.0277696140110492,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-134.90114 57.27194),,62.0,MRDS,10002392,1706.0,10002392,MRDS,https://minmod.isi.edu/resource/1706
910,https://minmod.isi.edu/resource/mrds10145263,0.0306101664900779,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q476,Komatiite nickel-copper-PGE,United States,POINT (-67.46601 45.11664),https://minmod.isi.edu/resource/mrds10067846,1651.0,MRDS,10145263,88.0,10145263,MRDS,https://minmod.isi.edu/resource/88
919,https://minmod.isi.edu/resource/mrds10131042,0.0371013693511486,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-120.64177 47.42292),,1544.0,MRDS,10131042,1687.0,10131042,MRDS,https://minmod.isi.edu/resource/1687
1330,https://minmod.isi.edu/resource/mrds10069267,0.0256878901273012,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q489,Impact U-M intrusion nickel- copper-PGE,United States,POINT (-136.33541 58.49972),,979.0,MRDS,10069267,1471.0,10069267,MRDS,https://minmod.isi.edu/resource/1471
1411,https://minmod.isi.edu/resource/mrds10067537,0.0274459663778543,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-136.42705 57.97832),https://minmod.isi.edu/resource/mrds10000500,838.0,MRDS,10067537,1280.0,10067537,MRDS,https://minmod.isi.edu/resource/1280
2087,https://minmod.isi.edu/resource/mrds10082900,0.0316078476607799,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-91.0782 46.30943),,1164.0,MRDS,10082900,677.0,10082900,MRDS,https://minmod.isi.edu/resource/677
2528,https://minmod.isi.edu/resource/mrds10048478,0.0279150400310754,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-92.1074 47.5525),,702.0,MRDS,10048478,343.0,10048478,MRDS,https://minmod.isi.edu/resource/343
2800,https://minmod.isi.edu/resource/mrds10245894,0.0315752476453781,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-112.42587 45.0966),https://minmod.isi.edu/resource/mrds10221327,2250.0,MRDS,10245894,944.0,10245894,MRDS,https://minmod.isi.edu/resource/944
2836,https://minmod.isi.edu/resource/mrds10082891,0.0311581157147884,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-90.77319 46.33444),https://minmod.isi.edu/resource/mrds10278132,1163.0,MRDS,10082891,1489.0,10082891,MRDS,https://minmod.isi.edu/resource/1489
